Project;X;Y;Ecoregion;Basin;BC region
Kempf1970;-35.18445736;-5.109417777;ER75;PEPB;
Kempf1970;-34.64125771;-7.660839412;ER75;PEPB;
Kempf1970;-35.28137465;-4.832487903;ER75;PEPB;
Kempf1970;-35.11182465;-5.497300569;ER75;PEPB;
Kempf1970;-34.79185538;-6.588019242;ER75;PEPB;
Kempf1970;-34.61967793;-7.094079172;ER75;PEPB;
Kempf1970;-35.01688291;-5.61110458;ER75;PEPB;
Kempf1970;-34.96204282;-6.136367455;ER75;PEPB;
Kempf1970;-34.64583599;-7.890284402;ER75;PEPB;
Kempf1970;-34.82732868;-6.569454933;ER75;PEPB;
Kempf1970;-34.70032266;-7.794897306;ER75;PEPB;
Kempf1970;-34.71043239;-7.179725976;ER75;PEPB;
Kempf1970;-34.62342388;-7.779164292;ER75;PEPB;
Kempf1970;-35.20889716;-5.493487479;ER75;PEPB;
Kempf1970;-34.54364418;-7.431916772;ER75;PEPB;
Kempf1970;-35.12910021;-5.569884864;ER75;PEPB;
Kempf1970;-34.57361297;-7.343736078;ER75;PEPB;
Kempf1970;-34.92536883;-6.036754953;ER75;PEPB;
Kempf1970;-34.71846813;-6.915118511;ER75;PEPB;
Kempf1970;-35.20179715;-5.64652293;ER75;PEPB;
Kempf1970;-34.60967703;-7.407157872;ER75;PEPB;
Kempf1970;-35.0563571;-5.863292996;ER75;PEPB;
Kempf1970;-34.89557615;-6.324948027;ER75;PEPB;
Kempf1970;-35.0549583;-5.55720395;ER75;PEPB;
Kempf1970;-34.53435024;-7.558569765;ER75;PEPB;
Kempf1970;-34.69459996;-6.818170122;ER75;PEPB;
Kempf1970;-34.90669554;-6.405602576;ER75;PEPB;
Kempf1970;-34.54571266;-7.703888712;ER75;PEPB;
Kempf1970;-35.15279617;-5.019952495;ER75;PEPB;
Kempf1970;-34.71153115;-6.999743086;ER75;PEPB;
Kempf1970;-35.38529608;-5.003428602;ER75;PEPB;
Kempf1970;-35.2731973;-4.813799699;ER75;PEPB;
Kempf1970;-34.65943265;-7.610259673;ER75;PEPB;
Kempf1970;-35.06099169;-5.973405434;ER75;PEPB;
Kempf1970;-35.04493519;-6.049721327;ER75;PEPB;
Kempf1970;-35.01893924;-6.097232764;ER75;PEPB;
Kempf1970;-34.71013778;-6.765663675;ER75;PEPB;
Kempf1970;-34.7428656;-6.822873235;ER75;PEPB;
Kempf1970;-35.27063303;-4.966595615;ER75;PEPB;
Kempf1970;-35.37298656;-4.901666734;ER75;PEPB;
Kempf1970;-34.6408517;-7.789932546;ER75;PEPB;
Kempf1970;-34.57850598;-7.589695582;ER75;PEPB;
Kempf1970;-34.92611003;-6.495260216;ER75;PEPB;
Kempf1970;-35.22480032;-5.255409748;ER75;PEPB;
Kempf1970;-34.53760767;-7.464160585;ER75;PEPB;
Kempf1970;-34.7577198;-6.911435527;ER75;PEPB;
Kempf1970;-34.63735673;-7.877489006;ER75;PEPB;
Kempf1970;-34.91617532;-6.400526522;ER75;PEPB;
Kempf1970;-35.34625506;-4.778341862;ER75;PEPB;
Kempf1970;-35.34220029;-4.852496389;ER75;PEPB;
Kempf1970;-35.17555137;-5.644473762;ER75;PEPB;
